,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long,Location,DAY,Hour,OFFENSE_CATEGORY,District_Names
34,M/V ACCIDENT - PROPERTY DAMAGE,D14,0,2022-03-22 17:43:00,2022,3,Tuesday,17,42.34934251788298,-71.16386818201659,"(42.34934251788298, -71.16386818201659)",22,17:43:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
35,INVESTIGATE PERSON,D14,0,2022-03-22 16:57:00,2022,3,Tuesday,16,42.33691995379182,-71.14960316458082,"(42.33691995379182, -71.14960316458082)",22,16:57:00,WARRANT-INVESTIGATION,Brighton
36,THREATS TO DO BODILY HARM,D14,0,2022-03-22 13:12:00,2022,3,Tuesday,13,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",22,13:12:00,THREAT,Brighton
37,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-22 16:18:00,2022,3,Tuesday,16,42.33888099071313,-71.15238503834003,"(42.33888099071313, -71.15238503834003)",22,16:18:00,THEFT-DAMAGE,Brighton
38,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,0,2022-03-21 21:30:00,2022,3,Monday,21,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",21,21:30:00,THEFT-DAMAGE,Brighton
39,M/V ACCIDENT - OTHER,D14,0,2022-03-22 02:50:00,2022,3,Tuesday,2,42.33646696059635,-71.14865601123378,"(42.33646696059635, -71.14865601123378)",22,02:50:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
40,INVESTIGATE PERSON,D14,0,2022-03-22 11:42:00,2022,3,Tuesday,11,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",22,11:42:00,WARRANT-INVESTIGATION,Brighton
41,VANDALISM,D14,0,2022-03-21 20:00:00,2022,3,Monday,20,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",21,20:00:00,THEFT-DAMAGE,Brighton
42,INVESTIGATE PROPERTY,D14,0,2022-03-22 12:15:00,2022,3,Tuesday,12,42.35515404509115,-71.13363462830687,"(42.35515404509115, -71.13363462830687)",22,12:15:00,WARRANT-INVESTIGATION,Brighton
43,PROPERTY - LOST/ MISSING,D14,0,2022-03-10 00:00:00,2022,3,Thursday,0,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",10,00:00:00,PROPERTY LOSS,Brighton
44,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,0,2022-03-21 21:00:00,2022,3,Monday,21,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",21,21:00:00,THEFT-DAMAGE,Brighton
45,FRAUD - CREDIT CARD / ATM FRAUD,D14,0,2022-02-02 08:00:00,2022,2,Wednesday,8,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",02,08:00:00,FRAUD - FINANCIAL,Brighton
46,LARCENY THEFT OF BICYCLE,D14,0,2022-03-21 23:00:00,2022,3,Monday,23,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",21,23:00:00,THEFT-DAMAGE,Brighton
47,INVESTIGATE PERSON,D14,0,2022-03-22 00:00:00,2022,3,Tuesday,0,42.340234082495314,-71.14800614129715,"(42.340234082495314, -71.14800614129715)",22,00:00:00,WARRANT-INVESTIGATION,Brighton
48,FRAUD - FALSE PRETENSE / SCHEME,D14,0,2022-03-21 21:30:00,2022,3,Monday,21,42.35393492457375,-71.13652594523757,"(42.35393492457375, -71.13652594523757)",21,21:30:00,FRAUD - FINANCIAL,Brighton
49,M/V ACCIDENT - OTHER,D14,0,2022-03-22 09:50:00,2022,3,Tuesday,9,42.352168723700494,-71.1249134539316,"(42.352168723700494, -71.1249134539316)",22,09:50:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
50,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-20 13:00:00,2022,3,Sunday,13,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",20,13:00:00,THEFT-DAMAGE,Brighton
51,INVESTIGATE PROPERTY,D14,0,2022-03-13 00:00:00,2022,3,Sunday,0,42.34356214580747,-71.15454908097712,"(42.34356214580747, -71.15454908097712)",13,00:00:00,WARRANT-INVESTIGATION,Brighton
52,INVESTIGATE PERSON,D14,0,2022-03-20 00:36:00,2022,3,Sunday,0,42.35283154863469,-71.13114272929741,"(42.35283154863469, -71.13114272929741)",20,00:36:00,WARRANT-INVESTIGATION,Brighton
53,SICK ASSIST,D14,0,2022-03-19 18:08:00,2022,3,Saturday,18,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",19,18:08:00,SICK-INJURED,Brighton
54,INVESTIGATE PERSON,D14,0,2022-03-19 16:43:00,2022,3,Saturday,16,42.33735838653172,-71.14730967872934,"(42.33735838653172, -71.14730967872934)",19,16:43:00,WARRANT-INVESTIGATION,Brighton
55,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-18 16:00:00,2022,3,Friday,16,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",18,16:00:00,THEFT-DAMAGE,Brighton
56,PROPERTY - LOST/ MISSING,D14,0,2022-03-19 14:17:00,2022,3,Saturday,14,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",19,14:17:00,PROPERTY LOSS,Brighton
57,LARCENY ALL OTHERS,D14,0,2022-03-19 13:55:00,2022,3,Saturday,13,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",19,13:55:00,THEFT-DAMAGE,Brighton
58,TOWED MOTOR VEHICLE,D14,0,2022-03-19 11:00:00,2022,3,Saturday,11,42.3490697005346,-71.15679124969418,"(42.3490697005346, -71.15679124969418)",19,11:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
59,TRESPASSING,D14,0,2022-03-19 08:45:00,2022,3,Saturday,8,42.35042707847971,-71.1349606485751,"(42.35042707847971, -71.1349606485751)",19,08:45:00,TRESPASSING,Brighton
60,TOWED MOTOR VEHICLE,D14,0,2022-03-19 07:39:00,2022,3,Saturday,7,42.34748342366138,-71.13363158262618,"(42.34748342366138, -71.13363158262618)",19,07:39:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
61,VANDALISM,D14,0,2022-03-18 20:00:00,2022,3,Friday,20,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",18,20:00:00,THEFT-DAMAGE,Brighton
62,SICK ASSIST,D14,0,2022-03-19 07:00:00,2022,3,Saturday,7,42.34650101445615,-71.13612792266056,"(42.346501014456145, -71.13612792266056)",19,07:00:00,SICK-INJURED,Brighton
63,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D14,0,2022-03-19 00:44:00,2022,3,Saturday,0,42.34966795802786,-71.13995527257794,"(42.34966795802786, -71.13995527257794)",19,00:44:00,DISTURBANCE,Brighton
64,SICK/INJURED/MEDICAL - PERSON,D14,0,2022-03-19 00:26:00,2022,3,Saturday,0,42.35283154863469,-71.13114272929741,"(42.35283154863469, -71.13114272929741)",19,00:26:00,SICK-INJURED,Brighton
65,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,D14,0,2022-03-18 21:40:00,2022,3,Friday,21,42.35011229315007,-71.17339720193799,"(42.35011229315007, -71.17339720193799)",18,21:40:00,DRUG ALCOHOL RELATED,Brighton
66,M/V ACCIDENT - PROPERTY DAMAGE,D14,0,2022-03-18 00:00:00,2022,3,Friday,0,42.35254702883067,-71.14027198943651,"(42.35254702883067, -71.14027198943651)",18,00:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
67,VANDALISM,D14,0,2022-03-17 17:00:00,2022,3,Thursday,17,42.34221760187234,-71.14605221161013,"(42.34221760187234, -71.14605221161013)",17,17:00:00,THEFT-DAMAGE,Brighton
68,M/V ACCIDENT - PROPERTY DAMAGE,D14,0,2022-03-18 18:10:00,2022,3,Friday,18,42.35603000169634,-71.13132702416438,"(42.35603000169634, -71.13132702416438)",18,18:10:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
69,ASSAULT - AGGRAVATED,D14,0,2022-03-18 17:45:00,2022,3,Friday,17,42.35405001718285,-71.13234503777896,"(42.35405001718285, -71.13234503777896)",18,17:45:00,ASSAULT,Brighton
70,SICK ASSIST,D14,0,2022-03-18 00:00:00,2022,3,Friday,0,42.34600287321543,-71.14387724712833,"(42.346002873215426, -71.14387724712833)",18,00:00:00,SICK-INJURED,Brighton
71,INVESTIGATE PERSON,D14,0,2022-03-18 17:00:00,2022,3,Friday,17,42.35280916508785,-71.13816716768706,"(42.35280916508785, -71.13816716768706)",18,17:00:00,WARRANT-INVESTIGATION,Brighton
72,INVESTIGATE PERSON,D14,0,2022-03-18 16:45:00,2022,3,Friday,16,42.36185826685732,-71.14092914696073,"(42.36185826685732, -71.14092914696073)",18,16:45:00,WARRANT-INVESTIGATION,Brighton
75,TOWED MOTOR VEHICLE,D14,0,2022-03-18 07:22:00,2022,3,Friday,7,42.34966795802786,-71.13995527257794,"(42.34966795802786, -71.13995527257794)",18,07:22:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
76,INVESTIGATE PERSON,D14,0,2022-03-18 03:29:00,2022,3,Friday,3,42.33861136520724,-71.1504899674936,"(42.338611365207235, -71.1504899674936)",18,03:29:00,WARRANT-INVESTIGATION,Brighton
77,ASSAULT - SIMPLE,D14,0,2022-03-18 02:17:00,2022,3,Friday,2,42.35263489627002,-71.13885401343227,"(42.35263489627002, -71.13885401343227)",18,02:17:00,ASSAULT,Brighton
78,PROPERTY - LOST/ MISSING,D14,0,2022-03-17 00:22:00,2022,3,Thursday,0,42.351824463885535,-71.13313369007304,"(42.351824463885535, -71.13313369007304)",17,00:22:00,PROPERTY LOSS,Brighton
79,FIRE REPORT,D14,0,2022-03-17 22:27:00,2022,3,Thursday,22,42.33848235928048,-71.15288977776044,"(42.338482359280476, -71.15288977776044)",17,22:27:00,FIRE-DANGER,Brighton
80,INVESTIGATE PERSON,D14,0,2022-01-21 22:45:00,2022,1,Friday,22,42.34548055306418,-71.14046685169822,"(42.34548055306418, -71.14046685169822)",21,22:45:00,WARRANT-INVESTIGATION,Brighton
81,INVESTIGATE PERSON,D14,0,2022-03-17 19:00:00,2022,3,Thursday,19,42.350432726359855,-71.12710479628086,"(42.350432726359855, -71.12710479628086)",17,19:00:00,WARRANT-INVESTIGATION,Brighton
82,LARCENY THEFT FROM BUILDING,D14,0,2022-03-11 16:40:00,2022,3,Friday,16,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",11,16:40:00,SICK-INJURED,Brighton
83,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D14,0,2022-03-17 14:18:00,2022,3,Thursday,14,42.35034269234086,-71.13038206644046,"(42.35034269234086, -71.13038206644046)",17,14:18:00,THEFT-DAMAGE,Brighton
84,INVESTIGATE PERSON,D14,0,2022-03-17 14:27:00,2022,3,Thursday,14,42.35034269234086,-71.13038206644046,"(42.35034269234086, -71.13038206644046)",17,14:27:00,WARRANT-INVESTIGATION,Brighton
86,INVESTIGATE PERSON,D14,0,2022-03-17 14:08:00,2022,3,Thursday,14,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",17,14:08:00,WARRANT-INVESTIGATION,Brighton
87,LARCENY THEFT FROM BUILDING,D14,0,2022-03-17 12:49:00,2022,3,Thursday,12,42.35458999032053,-71.14294359393152,"(42.354589990320534, -71.14294359393152)",17,12:49:00,SICK-INJURED,Brighton
88,M/V ACCIDENT - POLICE VEHICLE,D14,0,2022-03-17 13:45:00,2022,3,Thursday,13,42.34050061149467,-71.14982264001664,"(42.34050061149467, -71.14982264001664)",17,13:45:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
89,LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,0,2022-03-17 12:05:00,2022,3,Thursday,12,42.3400800168406,-71.15232712984904,"(42.340080016840595, -71.15232712984904)",17,12:05:00,THEFT-DAMAGE,Brighton
90,VANDALISM,D14,0,2022-03-17 11:05:00,2022,3,Thursday,11,42.34194178190524,-71.15562556870134,"(42.34194178190524, -71.15562556870134)",17,11:05:00,THEFT-DAMAGE,Brighton
91,INVESTIGATE PROPERTY,D14,0,2022-03-16 21:31:00,2022,3,Wednesday,21,42.353770782285,-71.15134252224811,"(42.353770782285, -71.15134252224811)",16,21:31:00,WARRANT-INVESTIGATION,Brighton
92,INVESTIGATE PERSON,D14,0,2022-03-16 02:30:00,2022,3,Wednesday,2,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",16,02:30:00,WARRANT-INVESTIGATION,Brighton
93,INVESTIGATE PROPERTY,D14,0,2022-03-16 16:57:00,2022,3,Wednesday,16,42.3551127275991,-71.13169830406105,"(42.3551127275991, -71.13169830406105)",16,16:57:00,WARRANT-INVESTIGATION,Brighton
94,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-14 18:00:00,2022,3,Monday,18,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",14,18:00:00,THEFT-DAMAGE,Brighton
95,INVESTIGATE PERSON,D14,0,2022-03-16 14:37:00,2022,3,Wednesday,14,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",16,14:37:00,WARRANT-INVESTIGATION,Brighton
96,VANDALISM,D14,0,2022-03-02 14:08:00,2022,3,Wednesday,14,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",02,14:08:00,THEFT-DAMAGE,Brighton
97,LARCENY ALL OTHERS,D14,0,2022-03-16 12:18:00,2022,3,Wednesday,12,42.34900457254378,-71.1364996220963,"(42.349004572543784, -71.1364996220963)",16,12:18:00,THEFT-DAMAGE,Brighton
98,VANDALISM,D14,0,2022-03-01 00:00:00,2022,3,Tuesday,0,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",01,00:00:00,THEFT-DAMAGE,Brighton
99,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-11 09:20:00,2022,3,Friday,9,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",11,09:20:00,THEFT-DAMAGE,Brighton
100,LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,0,2022-03-10 02:00:00,2022,3,Thursday,2,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",10,02:00:00,THEFT-DAMAGE,Brighton
101,INVESTIGATE PERSON,D14,0,2022-03-16 01:41:00,2022,3,Wednesday,1,42.35294719949958,-71.13115031756429,"(42.35294719949958, -71.13115031756429)",16,01:41:00,WARRANT-INVESTIGATION,Brighton
102,ASSAULT - SIMPLE,D14,0,2022-03-15 21:35:00,2022,3,Tuesday,21,42.350432726359855,-71.12710479628086,"(42.350432726359855, -71.12710479628086)",15,21:35:00,ASSAULT,Brighton
103,AUTO THEFT - MOTORCYCLE / SCOOTER,D14,0,2022-03-15 19:00:00,2022,3,Tuesday,19,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",15,19:00:00,THEFT-DAMAGE,Brighton
104,ASSAULT - SIMPLE,D14,0,2022-03-15 18:26:00,2022,3,Tuesday,18,42.34682749921356,-71.14319086479756,"(42.34682749921356, -71.14319086479756)",15,18:26:00,ASSAULT,Brighton
105,INVESTIGATE PERSON,D14,0,2022-03-15 17:28:00,2022,3,Tuesday,17,42.35666076159527,-71.15104266703132,"(42.356660761595265, -71.15104266703132)",15,17:28:00,WARRANT-INVESTIGATION,Brighton
106,TOWED MOTOR VEHICLE,D14,0,2022-03-15 17:02:00,2022,3,Tuesday,17,42.3526952245205,-71.12109585678841,"(42.3526952245205, -71.12109585678841)",15,17:02:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
107,FRAUD - FALSE PRETENSE / SCHEME,D14,0,2022-03-14 00:00:00,2022,3,Monday,0,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",14,00:00:00,FRAUD - FINANCIAL,Brighton
108,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-14 20:00:00,2022,3,Monday,20,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",14,20:00:00,THEFT-DAMAGE,Brighton
109,M/V ACCIDENT - OTHER,D14,0,2022-03-12 23:15:00,2022,3,Saturday,23,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",12,23:15:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
110,M/V ACCIDENT - PERSONAL INJURY,D14,0,2022-03-15 13:47:00,2022,3,Tuesday,13,42.34638021427772,-71.13804496418612,"(42.34638021427772, -71.13804496418612)",15,13:47:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
111,INVESTIGATE PERSON,D14,0,2022-03-15 13:43:00,2022,3,Tuesday,13,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",15,13:43:00,WARRANT-INVESTIGATION,Brighton
112,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,0,2022-03-15 11:54:00,2022,3,Tuesday,11,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",15,11:54:00,THEFT-DAMAGE,Brighton
113,VANDALISM,D14,0,2022-03-08 22:30:00,2022,3,Tuesday,22,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",08,22:30:00,THEFT-DAMAGE,Brighton
114,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-15 08:04:00,2022,3,Tuesday,8,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",15,08:04:00,THEFT-DAMAGE,Brighton
115,M/V ACCIDENT - OTHER,D14,0,2022-03-15 07:15:00,2022,3,Tuesday,7,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",15,07:15:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
116,PROPERTY - ACCIDENTAL DAMAGE,D14,0,2022-03-15 06:26:00,2022,3,Tuesday,6,42.33901783376302,-71.14904283658971,"(42.33901783376302, -71.14904283658971)",15,06:26:00,THEFT-DAMAGE,Brighton
118,M/V ACCIDENT - OTHER,D14,0,2022-03-14 18:01:00,2022,3,Monday,18,42.351299427331824,-71.1310398131848,"(42.351299427331824, -71.1310398131848)",14,18:01:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
119,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-14 16:00:00,2022,3,Monday,16,42.35232814102035,-71.12603095332854,"(42.35232814102035, -71.12603095332854)",14,16:00:00,THEFT-DAMAGE,Brighton
120,VANDALISM,D14,0,2022-03-14 02:14:00,2022,3,Monday,2,42.3548654151182,-71.13259322456055,"(42.3548654151182, -71.13259322456055)",14,02:14:00,THEFT-DAMAGE,Brighton
121,BURGLARY - RESIDENTIAL,D14,0,2022-03-13 01:50:00,2022,3,Sunday,1,42.35197784153619,-71.12381159835635,"(42.35197784153619, -71.12381159835635)",13,01:50:00,THEFT-DAMAGE,Brighton
122,ASSAULT - AGGRAVATED,D14,0,2022-03-14 12:46:00,2022,3,Monday,12,42.35310166285552,-71.1334224663316,"(42.35310166285552, -71.1334224663316)",14,12:46:00,ASSAULT,Brighton
123,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,2022-03-04 19:00:00,2022,3,Friday,19,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",04,19:00:00,THEFT-DAMAGE,Brighton
124,TOWED MOTOR VEHICLE,D14,0,2022-03-14 00:00:00,2022,3,Monday,0,42.36210144874929,-71.13964863627906,"(42.36210144874929, -71.13964863627906)",14,00:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
125,SICK ASSIST,D14,0,2022-03-14 08:48:00,2022,3,Monday,8,42.35245869483701,-71.13762608003351,"(42.352458694837004, -71.13762608003351)",14,08:48:00,SICK-INJURED,Brighton
126,PROPERTY - ACCIDENTAL DAMAGE,D14,0,2022-03-13 19:59:00,2022,3,Sunday,19,42.34669542082371,-71.16848513706617,"(42.34669542082371, -71.16848513706617)",13,19:59:00,THEFT-DAMAGE,Brighton
